更新时间,#genre#
2024-12-09 18:21:39,url
央视台,#genre#
CCTV-1综合,http://58.48.37.158:1111/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-1综合,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-1综合,http://221.233.192.152:1111/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-1综合,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-1综合,http://www.furymax.top:85/rtp/239.254.96.96:8550$组播源
CCTV-1综合,http://123.112.19.67:8012/rtp/239.3.1.129:8008$组播源
CCTV-1综合,http://60.164.128.167:8029/rtp/239.255.30.101:8231$组播源
CCTV-1综合,http://221.219.79.161:4000/rtp/239.3.1.129:8008$组播源
CCTV-1综合,http://115.171.216.209:4000/rtp/225.1.8.1:8008$组播源
CCTV-1综合,http://60.2.190.206:4000/rtp/239.253.92.83:8012$组播源
CCTV-2财经,http://61.136.172.236:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-2财经,http://58.48.37.158:1111/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-2财经,http://mom.cloudns.be:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
CCTV-2财经,http://221.233.192.152:1111/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-2财经,http://123.112.19.67:8012/rtp/239.3.1.60:8084$组播源
CCTV-2财经,http://222.129.139.91:8888/rtp/239.3.1.60:8084$组播源
CCTV-2财经,http://www.furymax.top:85/rtp/239.69.1.102:10250$组播源
CCTV-2财经,http://60.7.56.33:4000/rtp/239.253.92.190:6065$组播源
CCTV-2财经,http://60.164.128.167:8029/rtp/239.255.30.179:8231$组播源
CCTV-2财经,http://123.113.187.204:8000/rtp/239.3.1.60:8084$组播源
CCTV-3综艺,http://mom.cloudns.be:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
CCTV-3综艺,http://61.136.172.236:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-3综艺,http://58.48.37.158:1111/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-3综艺,http://221.233.192.152:1111/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-3综艺,http://www.furymax.top:85/rtp/239.69.1.122:10370$组播源
CCTV-3综艺,http://60.7.56.33:4000/rtp/239.253.92.191:6057$组播源
CCTV-3综艺,http://60.164.128.167:8029/rtp/239.255.29.12:8231$组播源
CCTV-3综艺,http://123.112.19.67:8012/rtp/239.3.1.172:8001$组播源
CCTV-3综艺,http://60.10.106.114:555/rtp/239.253.92.191:6057$组播源
CCTV-3综艺,http://111.196.129.152:20000/rtp/239.3.1.172:8001$组播源
CCTV-4中文国际,http://221.233.192.152:1111/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-4中文国际,http://mom.cloudns.be:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
CCTV-4中文国际,http://59.173.243.210:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-4中文国际,http://116.128.242.83:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-4中文国际,http://www.furymax.top:85/rtp/239.69.1.138:10466$组播源
CCTV-4中文国际,http://60.7.56.33:4000/rtp/239.253.92.251:6141$组播源
CCTV-4中文国际,http://60.164.128.167:8029/rtp/239.255.30.83:8231$组播源
CCTV-4中文国际,http://222.129.139.91:8888/rtp/239.3.1.213:4220$组播源
CCTV-4中文国际,http://123.112.19.67:8012/rtp/239.3.1.213:4220$组播源
CCTV-4中文国际,http://123.112.19.67:8012/rtp/239.3.1.214:4220$组播源
CCTV-5体育,http://116.128.242.83:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-5体育,http://61.136.172.236:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-5体育,http://59.173.243.210:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-5体育,http://58.48.37.158:1111/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-5体育,http://60.7.56.33:4000/rtp/239.253.92.181:6046$组播源
CCTV-5体育,http://www.furymax.top:85/rtp/239.69.1.123:10376$组播源
